"","X91D.deposit","X9M","X1Y","X18M","X2Y","X3Y","X4Y","X5Y","X6Y","X7Y","X8Y","X9Y","X10Y","X12Y","X15Y","X20Y"
"2006-07-13",4.63,4.685,4.705,4.735,4.75,4.785,4.79,4.84,4.915,4.94776689198803,4.97357991961719,5.06,5.035,5.125,5.25,5.35
"2006-07-14",4.64,4.655,4.68,4.685,4.71,4.735,4.78,4.83,4.875,4.935,4.975,5.005,5.04,5.12,5.23,5.33
"2006-07-17",4.64,4.655,4.68,4.685,4.71,4.735,4.78,4.83,4.875,4.935,4.975,5.005,5.04,5.12,5.23,5.33
"2006-07-18",4.64,4.64,4.67,4.685,4.705,4.725,4.755,4.82,4.865,4.925,4.955,4.985,5.01,5.12,5.215,5.305
"2006-07-19",4.64,4.665,4.675,4.69,4.7,4.725,4.77,4.815,4.875,4.92,4.975,5.005,5.02,5.105,5.215,5.315
"2006-07-20",4.64,4.62,4.65,4.67,4.665,4.68,4.77,4.79,4.85,4.89,4.935,4.495,5,5.105,5.18,5.29
"2006-07-21",4.64,4.64,4.65,4.665,4.67,4.7,4.74,4.79,4.845,4.895,4.925,4.965,4.99,5.075,5.185,5.285
"2006-07-24",4.64,4.64,4.665,4.665,4.675,4.695,4.76,4.785,4.84,4.89,4.92,4.96,4.93074529187977,5.075,5.175,5.295
"2006-07-25",4.64,4.66,4.655,4.705,4.725,4.74,4.745,4.8,4.87,4.92,4.965,4.495,5.025,5.1,5.185,5.28
"2006-07-26",4.64,4.665,4.675,4.69,4.695,4.725,4.77,4.815,4.875,4.92,4.96,4.86823234032856,4.91038117451061,5.095,5.195,5.29
"2006-07-27",4.64,4.65,4.655,4.665,4.675,4.705,4.75,4.785,4.855,4.9,4.94,4.97,4.495,5.09,5.19,5.265
"2006-07-28",4.64,4.65,4.66,4.67,4.68,4.705,4.745,4.79,4.84,4.89,4.925,4.955,4.985,5.065,5.165,5.275
"2006-07-31",4.64,4.62,4.625,4.645,4.655,4.67,4.715,4.755,4.795,4.86,4.88,4.915,4.945,5.03,5.13,5.24
"2006-08-01",4.64,4.31,4.61,4.625,4.61,4.635,4.655,4.71,4.75,4.785,4.855,4.885,4.89,4.495,5.09,5.19
"2006-08-02",4.64,4.605,4.615,4.61,4.615,4.635,4.665,4.71,4.755,4.805,4.85,4.845,4.87,4.95,5.05,5.14
"2006-08-03",4.64,4.6,4.615,4.62,4.61,4.63,4.65,4.73,4.745,4.785,4.815,4.84,4.89,4.955,5.055,5.155
"2006-08-04",4.64,4.6,4.605,4.6,4.605,4.635,4.66,4.71,4.755,4.795,4.825,4.86,4.885,4.965,5.065,5.155
"2006-08-07",4.64,4.585,4.58,4.585,4.58,4.6,4.64,4.69,4.73,4.77,4.81,4.83,4.86,4.93,5.03,5.13
"2006-08-08",4.64,4.575,4.555,4.55,4.555,4.575,4.605,4.655,4.69,4.745,4.785,4.815,4.85,4.915,5.035,5.15
"2006-08-09",4.64,4.57,4.545,4.55,4.545,4.56,4.6,4.65,4.695,4.75,4.77,4.8,4.845,4.915,5.015,5.065
"2006-08-10",4.71,4.65,4.64,4.63,4.615,4.62,4.645,4.68,4.72,4.76,4.79,4.815,4.845,4.915,5.015,5.11
"2006-08-11",4.7,4.615,4.62,4.65,4.58,4.58,4.59,4.645,4.66,4.7,4.81,4.76,4.76,4.85,4.98638344047004,5.05
"2006-08-14",4.7,4.645,4.635,4.655,4.62,4.63,4.635,4.645,4.68,4.765,4.8,4.82,4.785,4.85,4.95,5.05
"2006-08-15",4.7,4.65,4.655,4.655,4.62,4.625,4.65,4.68,4.71,4.76,4.79,4.81,4.83,4.9,5,5.1
"2006-08-16",4.7,4.62,4.64,4.625,4.62,4.595,4.655,4.685,4.695,4.75,4.8,4.82,4.855,4.91,4.97115451656017,5.125
"2006-08-17",4.7,4.585,4.615,4.585,4.575,4.585,4.565,4.655,4.685,4.735,4.765,4.775,4.8,4.87,4.97,5.07
"2006-08-18",4.7,4.63,4.62,4.585,4.575,4.595,4.62,4.65,4.685,4.74,4.76,4.775,4.8,4.88,4.98,5.08
"2006-08-21",4.7,4.63,4.62,4.585,4.595,4.6,4.62,4.645,4.705,4.74,4.765,4.79,4.8,4.895,4.995,5.095
"2006-08-22",4.7,4.635,4.625,4.595,4.58,4.59,4.62,4.665,4.705,4.75,4.765,4.79,4.825,4.89,4.985,5.085
"2006-08-23",4.69,4.65,4.625,4.585,4.575,4.6,4.625,4.64,4.675,4.725,4.765,4.785,4.825,4.885,4.495,5.075
"2006-08-24",4.69,4.64,4.63,4.615,4.575,4.585,4.635,4.65,4.685,4.75,4.785,4.815,4.815,4.895,5,5.07
"2006-08-25",4.69,4.64,4.645,4.615,4.61,4.62,4.65,4.68,4.715,4.775,4.795,4.815,4.85,4.915,5.01,5.11
"2006-08-28",4.69,4.64,4.645,4.605,4.58,4.595,4.645,4.66,4.715,4.755,4.795,4.815,4.85,4.905,5.01,5.13
"2006-08-29",4.68,4.64,4.635,4.61,4.57,4.61,4.645,4.65,4.715,4.75,4.795,4.84,4.85,4.92,4.97330659938723,5.12
"2006-08-30",4.68,4.64,4.62,4.61,4.58,4.605,4.635,4.66,4.685,4.755,4.765,4.8,4.845,4.9,5.99,5.11
"2006-08-31",4.68,4.64,4.62,4.6,4.58,4.595,4.62,4.66,4.71,4.755,4.785,4.815,4.845,4.92,5.015,5.115
"2006-09-01",4.68,4.615,4.59,4.565,4.55,4.585,4.585,4.635,4.695,4.72,4.755,4.805,4.795,4.885,4.495,5.06
"2006-09-04",4.67,4.615,4.57,4.565,4.53,4.525,4.57,4.61,4.64,4.7,4.725,4.755,4.78,4.855,4.945,5.035
"2006-09-05",4.67,4.64,4.58,4.565,4.54,4.54,4.575,4.605,4.655,4.725,4.735,4.765,4.81,4.89,4.5,5.055
"2006-09-06",4.67,4.64,4.64,4.58,4.595,4.61,4.625,4.675,4.71,4.745,4.775,4.805,4.855,4.925,5.015,5.115
"2006-09-07",4.67,4.63,4.63,4.54,4.56,4.57,4.605,4.665,4.705,4.75,4.75,4.77,4.81,4.9,4.92,5.125
"2006-09-08",4.65,4.62,4.605,4.59,4.555,4.575,4.595,4.62,4.67,4.73,4.76,4.79,4.825,4.89,4.975,5.075
"2006-09-11",4.65,4.58,4.6,4.59,4.57,4.59,4.62,4.66,4.67,4.73,4.76,4.79,4.825,4.91,4.995,5.095
"2006-09-12",4.64,4.62,4.595,4.595,4.575,4.585,4.615,4.655,4.705,4.755,4.775,4.805,4.84,4.92,5.005,5.105
"2006-09-13",4.63,4.61,4.585,4.58,4.56,4.58,4.605,4.645,4.695,4.74,4.775,4.81,4.84,4.925,4.94426940281414,5.11
"2006-09-14",4.63,4.62,4.58,4.59,4.56,4.59,4.6,4.66,4.705,4.77,4.795,4.835,4.86,4.925,5.015,5.13
"2006-09-15",4.63,4.62,4.58,4.585,4.58,4.6,4.615,4.685,4.7,4.75,4.8,4.82,4.865,4.925,4.96142531868331,5.12
"2006-09-18",4.63,4.62,4.355,4.585,4.595,4.6,4.615,4.66,4.7,4.75,4.8,4.82,4.875,4.945,5.035,5.13
"2006-09-19",4.63,4.62,4.585,4.595,4.58,4.6,4.63,4.67,4.725,4.78,4.825,4.845,4.885,4.96,5.05,5.15
"2006-09-20",4.63,4.58,4.545,4.57,4.545,4.55,4.615,4.635,4.715,4.73,4.795,4.815,4.85,4.925,4.98775330847957,5.115
"2006-09-21",4.63,4.555,4.55,4.545,4.53,4.545,4.565,4.605,4.655,4.71,4.745,4.775,4.8,4.885,4.975,5.065
"2006-09-22",4.63,4.52,4.36,4.5,4.49,4.5,4.53,4.57,4.61,4.67,4.71,4.74,4.77,4.83,4.945,5.02
"2006-09-25",4.61,4.56,4.36,4.51,4.49,4.53,4.53,4.58,4.61,4.68,4.71,4.74,4.77,4.865,4.955,5.045
"2006-09-26",4.61,4.545,4.51,4.51,4.485,4.505,4.525,4.3,4.605,4.665,4.695,4.725,4.77,4.845,4.935,5.015
"2006-09-27",4.61,4.55,4.5,4.51,4.485,4.5,4.525,4.565,4.625,4.665,4.715,4.75,4.77,4.85,4.94,5.03
"2006-09-28",4.6,4.55,4.5,4.51,4.48,4.49,4.525,4.565,4.615,4.665,4.705,4.725,4.75,4.855,4.94,5.03
"2006-09-29",4.59,4.52,4.5,4.475,4.46,4.475,4.49,4.51,4.59,4.615,4.68,4.69,4.73,4.8,4.88,5.02351600244111
"2006-10-02",4.58,4.54,4.52,4.515,4.475,4.49,4.52,4.565,4.615,4.635,4.695,4.725,4.745,4.835,4.925,5.01616954381889
"2006-10-03",4.58,4.54,4.52,4.515,4.495,4.505,4.53,4.565,4.615,4.66,4.695,4.725,4.755,4.83,4.92,5.01
"2006-10-04",4.58,4.51,4.5,4.485,4.47,4.47,4.5,4.54,4.575,4.64,4.655,4.685,4.74,4.805,4.895,4.985
"2006-10-05",4.58,4.56,4.49,4.48,4.46,4.47,4.495,4.525,4.575,4.625,4.66,4.69,4.72,4.795,4.885,4.975
"2006-10-06",4.58,4.56,4.49,4.48,4.46,4.47,4.495,4.525,4.575,4.625,4.66,4.69,4.72,4.795,4.885,4.975
"2006-10-09",4.58,4.54,4.49,4.485,4.465,4.485,4.51,4.54,4.585,4.635,4.665,4.7,4.73,4.81,4.9,5
"2006-10-10",4.58,4.5,4.485,4.47,4.45,4.47,4.51,4.54,4.575,4.62,4.65,4.69,4.735,4.825,4.915,5
"2006-10-11",4.58,4.515,4.49,4.5,4.47,4.505,4.515,4.57,4.595,4.645,4.675,4.705,4.745,4.825,4.915,5.015
"2006-10-12",4.58,4.515,4.49,4.49,4.475,4.485,4.525,4.55,4.595,4.635,4.675,4.705,4.735,4.815,4.895,4.94850047890238
"2006-10-13",4.57,4.52,4.5,4.5,4.48,4.5,4.525,4.565,4.62,4.65,4.69,4.725,4.755,4.835,4.93,5.025
"2006-10-16",4.57,4.53,4.51,4.5,4.505,4.52,4.545,4.58,4.625,4.675,4.69,4.735,4.75,4.845,4.935,5.035
"2006-10-17",4.57,4.505,4.495,4.47,4.48,4.5,4.52,4.56,4.585,4.645,4.66,4.69,4.74,4.8,4.89,4.5
"2006-10-18",4.57,4.49,4.48,4.475,4.475,4.47,4.475,4.53,4.585,4.63,4.67,4.69,4.72,4.79,4.88,4.97
"2006-10-19",4.57,4.475,4.47,4.45,4.445,4.46,4.485,4.515,4.56,4.6,4.625,4.655,4.695,4.765,4.855,4.955
"2006-10-20",4.57,4.495,4.48,4.465,4.445,4.46,4.475,4.51,4.555,4.575,4.63,4.64,4.675,4.765,4.855,4.945
"2006-10-23",4.57,4.5,4.495,4.49,4.455,4.465,4.48,4.51,4.555,4.61,4.62,4.655,4.68,4.76,4.83,4.925
"2006-10-24",4.57,4.54,4.545,4.535,4.525,4.55,4.555,4.585,4.65,4.645,4.66,4.695,4.74,4.805,4.895,4.89142833493634
"2006-10-25",4.57,4.525,4.525,4.515,4.525,4.54,4.54,4.58,4.64,4.655,4.705,4.715,4.745,4.81,4.9,5.02
"2006-10-26",4.57,4.52,4.52,4.5,4.485,4.5,4.525,4.56,4.615,4.64,4.675,4.69,4.725,4.8,4.88,4.495
"2006-10-27",4.57,4.535,4.525,4.515,4.505,4.525,4.545,4.58,4.635,4.66,4.695,4.71,4.745,4.82,4.9,4.995
"2006-10-30",4.57,4.535,4.525,4.515,4.505,4.525,4.545,4.58,4.635,4.66,4.695,4.71,4.745,4.82,4.9,4.995
"2006-10-31",4.57,4.57,4.56,4.55,4.56,4.58,4.6,4.645,4.69,4.725,4.755,4.775,4.51,4.875,4.95,5.06
"2006-11-01",4.58,4.57,4.54,4.54,4.53,4.55,4.57,4.585,4.65,4.67,4.72,4.75,4.76,4.83,4.94,5.03
"2006-11-02",4.58,4.515,4.495,4.495,4.48,4.5,4.515,4.57,4.615,4.65,4.68,4.705,4.74,4.81,4.885,4.485
"2006-11-03",4.58,4.515,4.475,4.495,4.445,4.495,4.48,4.52,4.585,4.62,4.64,4.685,4.695,4.795,4.855,4.965
"2006-11-06",4.59,4.59,4.58,4.57,4.51,4.53,4.605,4.595,4.635,4.675,4.705,4.735,4.765,4.835,4.915,5.035
"2006-11-07",4.59,4.58,4.57,4.56,4.54,4.57,4.595,4.63,4.675,4.71,4.74,4.755,4.8,4.86,4.935,5.025
"2006-11-08",4.59,4.62,4.595,4.615,4.58,4.62,4.61,4.645,4.71,4.75,4.775,4.785,4.81,4.87,4.955,5.035
"2006-11-09",4.59,4.56,4.56,4.57,4.54,4.545,4.555,4.59,4.675,4.66,4.73,4.75,4.735,4.85,4.925,4.495
"2006-11-10",4.59,4.55,4.55,4.545,4.53,4.545,4.565,4.61047230891927,4.64,4.67,4.695,4.72,4.75,4.82,4.89,4.955
"2006-11-13",4.59,4.59,4.565,4.545,4.555,4.57,4.57,4.605,4.64,4.65,4.67,4.69,4.715,4.82,4.89,4.955
"2006-11-14",4.59,4.59,4.6,4.575,4.56,4.59,4.61,4.645,4.685,4.7,4.72,4.735,4.75,4.82,4.89,4.955
"2006-11-15",4.59,4.55,4.55,4.545,4.53,4.4,4.565,4.595,4.64,4.67,4.71,4.72,4.595,4.435,4.89,4.93027589111213
"2006-11-16",4.59,4.615,4.625,4.305,4.575,4.61,4.61,4.655,4.35,4.36,4.375,4.385,4.395,4.435,4.47,4.93632333004611
"2006-11-17",4.6,4.605,4.595,4.59,4.58,4.585,4.61,4.63,4.675,4.705,4.71,4.735,4.76,4.825,4.885,4.96
"2006-11-20",4.6,4.59,4.6,4.595,4.555,4.58,4.61,4.62,4.66,4.675,4.72,4.74,4.76,4.825,4.88,4.94
"2006-11-21",4.6,4.595,4.605,4.58,4.555,4.58,4.31,4.655,4.695,4.705,4.705,4.715,4.78,4.8,4.87,4.91
"2006-11-22",4.6,4.615,4.62,4.605,4.585,4.605,4.625,4.655,4.7,4.72,4.75,4.735,4.785,4.86,4.89,4.95
"2006-11-23",4.61,4.355,4.66,4.665,4.655,4.67,4.67,4.72,4.74,4.765,4.795,4.765,4.785,4.84,4.92,4.985
"2006-11-24",4.61,4.65,4.67,4.65,4.65,4.66,4.68,4.695,4.73,4.755,4.785,4.79,4.825,4.865,4.905,4.985
"2006-11-27",4.62,4.645,4.65,4.65,4.64,4.635,4.665,4.69,4.73,4.74,4.78,4.8,4.79,4.83,4.895,4.99
"2006-11-28",4.63,4.635,4.65,4.64,4.655,4.655,4.66,4.685,4.72,4.74,4.755,4.775,4.795,4.845,4.89,4.96
"2006-11-29",4.65,4.665,4.675,4.655,4.665,4.655,4.67,4.705,4.73,4.75,4.785,4.785,4.81,4.88,4.92,4.95
"2006-11-30",4.67,4.685,4.675,4.67,4.66,4.67,4.68,4.695,4.73,4.76,4.78,4.79,4.82,4.86,4.915,4.955
"2006-12-01",4.7,4.68,4.675,4.64,4.63,4.655,4.655,4.675,4.7,4.735,4.75,4.77,4.78,4.84,4.885,4.935
"2006-12-04",4.7,4.67,4.645,4.66,4.62,4.63,4.65,4.66,4.695,4.72,4.725,4.735,4.76,4.82,4.87,4.915
"2006-12-05",4.7,4.665,4.65,4.62,4.605,4.62,4.615,4.63,4.66,4.7,4.705,4.725,4.735,4.775,4.825,4.885
"2006-12-06",4.71,4.65,4.65,4.6,4.59,4.585,4.615,4.63,4.66,4.675,4.705,4.725,4.71,4.765,4.84,4.895
"2006-12-07",4.71,4.635,4.62,4.58,4.565,4.565,4.595,4.6,4.625,9.62,4.73229033473863,4.74750594150099,4.71,4.74,4.795,4.855
"2006-12-08",4.71,4.635,4.62,4.57,4.59,4.59,4.575,4.585,4.625,4.67,4.65,4.715,4.69,4.76,4.8,4.855
"2006-12-11",4.72,4.685,4.655,4.645,4.625,4.65,4.645,4.685,4.515,4.74,4.685,4.705,4.79,4.775,4.86,4.875
"2006-12-12",4.72,4.71,4.68,4.665,4.635,4.66,4.645,4.69,4.715,4.75,4.765,4.775,4.785,4.855,4.895,4.955
"2006-12-13",4.72,4.69,4.67,4.645,4.635,4.635,4.65,4.675,4.695,4.735,4.76,4.78,4.795,4.815,4.88,4.93
"2006-12-14",4.74,4.72,4.715,4.695,4.685,4.71,4.73,4.715,4.75,4.77,4.805,4.815,4.84,4.88,4.92,4.545
"2006-12-15",4.74,4.725,4.71,4.695,4.685,4.69,4.71,4.73,4.755,4.785,4.805,4.82,4.835,4.885,4.93,4.985
"2006-12-18",4.74,4.75,4.625,4.695,4.71,4.69,4.71,4.755,4.755,4.785,4.805,4.82,4.835,4.885,4.93,4.985
"2006-12-19",4.74,4.74,4.725,4.72,4.705,4.715,4.735,4.76,4.785,4.815,4.84,4.86,4.87,4.92,4.97,5.03
"2006-12-20",4.77,4.76,4.75,4.74,4.735,4.745,4.77,4.795,4.82,4.85,4.86,4.885,4.9,4.95,5,5.05
"2006-12-21",4.8,4.75,4.74,4.73,4.725,4.73,4.755,4.78,4.805,4.835,4.845,4.87,4.885,4.935,4.985,5.035
"2006-12-22",4.8,4.775,4.755,4.745,4.7425,4.755,4.765,4.8,4.795,4.845,4.835,4.885,4.875,4.925,4.975,5.025
"2006-12-25",4.8,4.775,4.76,4.75,4.745,4.755,4.775,4.8,4.825,4.855,4.86,4.885,4.905,4.95,5,5.05
"2006-12-26",4.82,4.885,4.87,4.75,4.78,4.79,4.865,4.91,4.86,4.97,4.975,4.98,4.93051751344818,4.97538210028692,5.035,5.05
"2006-12-27",4.83,4.885,4.87,4.86,4.855,4.865,4.885,4.91,4.935,4.97,4.98,4.995,5.01,5.06,5.11,5.16
"2006-12-28",4.85,4.83,4.83,4.815,4.81,4.82,4.835,4.86,4.885,4.91,4.93,4.94,4.95,5,5.04,5.1
"2006-12-29",4.86,4.83,4.83,4.815,4.81,4.82,4.835,4.86,4.885,4.91,4.93,4.94,4.95,5,5.04,5.1
"2007-01-01",4.86,4.83,4.83,4.815,4.81,4.82,4.835,4.86,4.885,4.91,4.93,4.94,4.95,5,5.04,5.1
"2007-01-02",4.86,4.85,4.85,4.83,4.825,4.835,4.85,4.875,4.9,4.925,4.945,4.955,4.965,5.015,5.055,5.115
"2007-01-03",4.87,4.84,4.8425,4.8,4.795,4.81,4.8275,4.85,4.885,4.8975,4.915,4.93,4.9375,4.975,5.04,5.07
"2007-01-04",4.87,4.855,4.835,4.805,4.795,4.7975,4.83,4.84,4.865,4.8975,4.905,4.915,4.9325,4.975,5.015,5.065
"2007-01-05",4.87,4.84,4.835,4.785,4.77,4.795,4.7925,4.835,4.84,4.875,4.885,4.89,4.91,4.95,4.985,5.07
"2007-01-08",4.87,4.835,4.825,4.79,4.79,4.785,4.82,4.835,4.855,4.8975,4.895,4.905,4.93,4.96,5.03325723608779,5.05
"2007-01-09",4.87,4.83,4.8475,4.8,4.8075,4.8075,4.82,4.84,4.835,4.885,4.89,4.9,4.9175,4.95,4.99,5.045
"2007-01-10",4.87,4.85,4.84,4.81,4.805,4.805,4.82,4.835,4.86,4.885,4.895,4.905,4.915,4.96,5.005,5.055
"2007-01-11",4.88,4.85,4.8275,4.8,4.8025,4.8025,4.84,4.8725,4.86,4.9,4.895,4.91,4.93,4.92,5.03608638701283,5.065
"2007-01-12",4.88,4.915,4.905,4.875,4.87,4.87,4.88,4.9,4.925,4.945,4.955,4.965,4.975,5.015,5.06,5.105
"2007-01-15",4.93,4.93,4.925,4.885,4.88,4.885,4.895,4.915,4.94,4.96,4.97,4.98,4.99,5.025,5.08,5.12
"2007-01-16",4.94,4.935,4.9375,4.89,4.8975,4.9025,4.9125,4.9325,4.955,4.9775,4.985,4.995,4.9925,5.04,5.08,5.125
"2007-01-17",4.94,4.93,4.925,4.89,4.885,4.885,4.89,4.91,4.935,4.95,4.955,4.965,4.975,5.015,5.06,5.1
"2007-01-18",4.94,4.94,4.935,4.9,4.895,4.895,4.905,4.92,4.94,4.96,4.975,4.985,4.985,5.025,5.07,5.1
"2007-01-19",4.94,4.92,4.91,4.88,4.865,4.865,4.87,4.89,4.915,4.935,4.94,4.95,4.955,4.99,5.04,5.08
"2007-01-22",4.94,4.92,4.915,4.88,4.875,4.875,4.885,4.9,4.925,4.94,4.945,4.955,4.965,5,5.045,5.08
"2007-01-23",4.94,4.905,4.925,4.885,4.8775,4.89,4.89,4.905,4.925,4.94,4.95,4.96,4.96,4.995,5.045,5.075
"2007-01-24",4.94,4.94,4.965,4.915,4.93,4.925,4.93,4.945,4.965,4.98,4.985,4.995,5.005,5.03,5.08,5.09
"2007-01-25",4.94,4.945,4.955,4.925,4.92,4.915,4.91,4.93,4.955,4.96,4.97,4.98,4.99,5.015,5.055,5.09
"2007-01-26",4.95,4.95,4.9775,4.945,4.955,4.945,4.945,4.945,4.495,4.495,4.995,5.005,5.015,5.045,5.085,5.12
"2007-01-29",4.95,4.975,4.9575,4.955,4.92,4.9175,4.9175,4.9325,4.96,4.97,4.495,4.99,4.9925,5.01,5.05,5.09
"2007-01-30",4.95,4.95,4.95,4.93,4.9125,4.9125,4.9125,4.9275,4.95,4.965,4.965,4.975,4.9875,5.01,5.05,5.09
"2007-01-31",4.96,4.95,4.95,4.92,4.91,4.91,4.92,4.925,4.93,4.96,4.96,4.97,4.9825,5.005,5.05,5.09
"2007-02-01",4.96,4.92,4.885,4.88,4.85,4.85,4.85,4.86,4.895,4.895,4.92,4.93,4.92,4.95,4.99,5.03
"2007-02-02",4.96,4.945,4.95,4.92,4.915,4.92,4.925,4.945,4.95,4.99,4.98,4.97239046032954,5.025,5.06,5.07,5.145
"2007-02-05",4.96,4.96,4.945,4.93,4.915,4.915,4.935,4.955,4.94,5.005,4.99,5.045,5.055,5.085,5.13,5.17
"2007-02-06",4.96,4.92,4.905,4.9,4.875,4.88,4.895,4.92,4.9,4.965,4.935,4.985,5.005,5.04,5.08,5.115
"2007-02-07",4.96,4.885,4.865,4.865,4.8325,4.84,4.85,4.87,4.87,4.9225,4.92,4.945,4.9525,4.995,5.025,5.075
"2007-02-08",4.95,4.88,4.8575,4.84,4.835,4.8275,4.845,4.87,4.86,4.905,4.905,4.925,4.94,4.9625,5.005,5.0425
"2007-02-09",4.95,4.885,4.86,4.85,4.83,4.83,4.845,4.8725,4.86,4.9,4.905,4.925,4.935,4.9625,5.005,5.0425
"2007-02-12",4.95,4.88,4.86,4.86,4.835,4.8275,4.8375,4.86,4.875,4.9,4.905,4.925,4.94,4.965,5.005,5.045
"2007-02-13",4.95,4.885,4.87,4.85,4.845,4.845,4.86,4.885,4.87,4.915,4.905,4.935,4.955,4.985,5.02,5.065
"2007-02-14",4.95,4.88,4.85,4.845,4.825,4.825,4.835,4.86,4.845,4.895,4.9,4.93,4.94,4.965,5,5.045
"2007-02-15",4.94,4.84,4.815,4.785,4.785,4.7875,4.7975,4.8,4.81,4.84,4.835,4.865,4.8725,4.905,4.95,4.985
"2007-02-16",4.94,4.835,4.825,4.78,4.775,4.77,4.78,4.805,4.825,4.84,4.825,4.86,4.875,4.905,4.945,4.985
"2007-02-19",4.94,4.85,4.82,4.79,4.775,4.77,4.78,4.8,4.82,4.835,4.85,4.865,4.875,4.905,4.94,4.985
"2007-02-20",4.94,4.87,4.835,4.82,4.795,4.79,4.8,4.825,4.845,4.86,4.87,4.895,4.895,4.93,4.965,5.01
"2007-02-21",4.94,4.855,4.835,4.82,4.79,4.785,4.8,4.825,4.82,4.86,4.86,4.885,4.895,4.925,4.97,5.01
"2007-02-22",4.94,4.845,4.82,4.8,4.775,4.77,4.785,4.81,4.81,4.85,4.835,4.86,4.885,4.92,4.965,5.005
"2007-02-23",4.94,4.84,4.815,4.79,4.77,4.765,4.775,4.7975,4.82,4.8375,4.835,4.865,4.88,4.915,4.96,5
"2007-02-26",4.94,4.825,4.815,4.77,4.765,4.755,4.775,4.795,4.795,4.835,4.85,4.865,4.875,4.91,4.955,4.995
"2007-02-27",4.94,4.84,4.83,4.78,4.7875,4.775,4.7825,4.815,4.815,4.8625,4.86,4.88,4.9025,4.935,4.975,5.015
"2007-02-28",4.94,4.85,4.835,4.795,4.78,4.77,4.79,4.81,4.82,4.86,4.86,4.88,4.9,4.935,4.98,5.02
"2007-03-01",4.94,4.855,4.835,4.795,4.785,4.78,4.795,4.82,4.82,4.865,4.85,4.875,4.905,4.935,4.98,5.02
"2007-03-02",4.94,4.855,4.8225,4.795,4.775,4.78,4.785,4.81,4.82,4.865,4.845,4.895,4.915,4.9475,5.005,5.0425
"2007-03-05",4.94,4.805,4.7875,4.735,4.7175,4.72,4.74,4.7625,4.745,4.82,4.82,4.84,4.88,4.905,4.955,5.015
"2007-03-06",4.94,4.825,4.78,4.755,4.705,4.7,4.715,4.74,4.76,4.805,4.83,4.855,4.855,4.895,4.95,5
"2007-03-07",4.94,4.82,4.78,4.725,4.705,4.705,4.715,4.735,4.785,4.795,4.79,4.815,4.835,4.87,4.925,4.49
"2007-03-08",4.94,4.85,4.8,4.72,4.72,4.715,4.73,4.745,4.755,4.8,4.8,4.825,4.85,4.885,4.94,4.99
"2007-03-09",4.94,4.85,4.805,4.76,4.7225,4.7,4.72,4.74,4.765,4.795,4.765,4.815,4.84,4.885,4.935,4.98
